,index,time,ghi,dhi,dni,temp_air,cloud_cover (%),wind_speed,precipitation (mm),This Month Full Load Hours (h),Total Yield (kWh),Daily Value (kWh),poa_global,theoretical_kwh,PR_Daily,Month,Daily Value Imputed,energy_mwh,co2_avoided,trees_saved,cars_offroad,homes_powered,coal_emission_avoided,coal_tonnage_avoided,gas_saved
10,10,2025-01-11,0.272,0.268,0.004200000000000001,-0.004166666666666652,96.20833333333333,5.8761574074074066,4.4,16.34,8388.7,0.8,0.25549961980129376,0.0027210709508837783,294.00188912390087,1,0.8,0.0008,0.00043200000000000004,0.01963636363636364,9.391304347826089e-05,8e-05,0.00072,0.00017280000000000003,0.18782608695652178
11,11,2025-01-12,0.765,0.544,1.1661000000000001,-5.745833333333334,93.58333333333333,1.505787037037037,1.5,16.34,8388.7,1.0,0.7726445759403924,0.008228664733765177,121.52639976892479,1,1.0,0.001,0.00054,0.024545454545454547,0.0001173913043478261,0.0001,0.0009000000000000001,0.000216,0.2347826086956522
12,12,2025-01-13,1.001,0.512,2.4174,-2.2375000000000003,61.666666666666664,4.576388888888888,0.0,16.34,8388.7,0.5,1.0241632528906286,0.010907338643285195,45.840696466118374,1,0.5,0.0005,0.00027,0.012272727272727274,5.869565217391305e-05,5e-05,0.00045000000000000004,0.000108,0.1173913043478261
13,13,2025-01-14,0.736,0.613,0.6593,-1.2458333333333333,41.333333333333336,4.546296296296297,0.0,16.34,8388.7,1.4,0.7305766399013763,0.007780641214949658,179.9337562706338,1,1.4,0.0014,0.000756,0.03436363636363637,0.00016434782608695653,0.00014,0.00126,0.00030240000000000003,0.32869565217391306
14,14,2025-01-15,0.442,0.43,0.0972,2.720833333333333,83.04166666666667,5.247685185185185,0.0,16.34,8388.7,10.4,0.43044359735868704,0.004584224311870016,2268.649894175355,1,10.4,0.0104,0.005616,0.2552727272727273,0.0012208695652173914,0.00104,0.00936,0.0022464,2.441739130434783
15,15,2025-01-16,0.798,0.634,0.7303,0.8041666666666667,90.95833333333333,4.732638888888888,0.8,16.34,8388.7,13.0,0.7711151701974437,0.008212376562602774,1582.9766086468726,1,13.0,0.013,0.00702,0.3190909090909091,0.0015260869565217393,0.0013,0.0117,0.002808,3.052173913043479
16,16,2025-01-17,0.813,0.781,0.14930000000000002,-8.345833333333333,99.875,5.540509259259259,5.0,16.34,8388.7,13.3,0.7767089547021153,0.008271950367577528,1607.84330284793,1,13.3,0.013300000000000001,0.007182000000000001,0.3264545454545455,0.0015613043478260873,0.00133,0.011970000000000001,0.0028728000000000004,3.1226086956521746
17,17,2025-01-18,1.37,0.412,4.4281999999999995,-22.445833333333336,36.125,2.884259259259259,1.1,16.34,8388.7,5.4,1.4407790472997353,0.015344296853742178,351.9222843165371,1,5.4,0.0054,0.002916,0.13254545454545455,0.000633913043478261,0.00054,0.004860000000000001,0.0011664000000000002,1.267826086956522
18,18,2025-01-19,1.395,0.434,4.4468000000000005,-28.933333333333334,27.416666666666668,1.1539351851851851,0.0,16.34,8388.7,6.4,1.479015670589099,0.015751516891773905,406.31007438669894,1,6.4,0.0064,0.0034560000000000003,0.15709090909090911,0.0007513043478260871,0.00064,0.00576,0.0013824000000000002,1.5026086956521743
19,19,2025-01-20,0.969,0.647,1.4883,-24.445833333333336,49.166666666666664,3.2951388888888884,0.0,16.34,8388.7,4.8,0.9759132052641667,0.010393475636063375,461.82818607328204,1,4.8,0.0048,0.002592,0.11781818181818184,0.0005634782608695653,0.00047999999999999996,0.00432,0.0010368,1.1269565217391306
20,20,2025-01-21,1.17,0.688,2.2285,-3.033333333333333,80.29166666666667,7.984953703703703,0.0,16.34,8388.7,16.5,1.2011593814823058,0.012792347412786556,1289.8336378440965,1,16.5,0.0165,0.008910000000000001,0.4050000000000001,0.001936956521739131,0.00165,0.01485,0.0035640000000000003,3.873913043478262
21,21,2025-01-22,0.942,0.626,1.4944000000000002,-4.545833333333333,88.70833333333333,6.422453703703703,0.8,16.34,8388.7,8.3,0.9661414751013336,0.010289406709829202,806.6548669002682,1,8.3,0.0083,0.004482000000000001,0.20372727272727278,0.0009743478260869567,0.00083,0.00747,0.0017928000000000002,1.9486956521739136
22,22,2025-01-23,1.054,0.636,1.9098,-4.3500000000000005,87.45833333333333,4.921296296296296,0.30000000000000004,16.34,8388.7,15.8,1.084832661257098,0.011553467842388093,1367.5547649885657,1,15.8,0.0158,0.008532000000000001,0.3878181818181819,0.0018547826086956526,0.0015800000000000002,0.014220000000000002,0.0034128000000000006,3.7095652173913054
23,23,2025-01-24,1.249,0.704,2.3457,-2.904166666666667,58.458333333333336,8.039351851851851,0.30000000000000004,16.34,8388.7,15.4,1.266659841191622,0.013489927308690771,1141.592511775707,1,15.4,0.0154,0.008316,0.37800000000000006,0.001807826086956522,0.0015400000000000001,0.01386,0.0033264,3.6156521739130443
24,24,2025-01-25,1.425,0.514,3.7377,-7.6875,45.041666666666664,3.6006944444444446,0.0,16.34,8388.7,22.3,1.4529497025819293,0.015473914332497547,1441.1350302726341,1,22.3,0.0223,0.012042,0.5473636363636364,0.002617826086956522,0.00223,0.02007,0.0048168,5.235652173913044
25,25,2025-01-26,1.49,0.463,4.268,-3.125,66.875,3.9432870370370368,0.0,16.34,8388.7,30.6,1.5539181593923899,0.016549228397528953,1849.0288045434818,1,30.6,0.030600000000000002,0.016524000000000004,0.7510909090909094,0.0035921739130434795,0.0030600000000000002,0.027540000000000002,0.006609600000000002,7.184347826086959
26,26,2025-01-27,1.5,0.576,3.797,1.5250000000000001,42.916666666666664,5.821759259259259,0.0,16.34,8388.7,21.1,1.5498097003072888,0.016505473308272626,1278.3638254968778,1,21.1,0.0211,0.011394000000000001,0.517909090909091,0.002476956521739131,0.00211,0.01899,0.0045576,4.953913043478262
27,27,2025-01-28,1.308,0.803,1.9427999999999999,2.725,93.70833333333333,5.673611111111112,0.0,16.34,8388.7,14.6,1.282080406304651,0.01365415632714453,1069.2714840956614,1,14.6,0.0146,0.007884,0.3583636363636364,0.001713913043478261,0.00146,0.01314,0.0031536000000000003,3.427826086956522
28,28,2025-01-29,1.433,0.751,2.5138000000000003,-0.7333333333333334,100.0,2.194444444444444,2.4,16.34,8388.7,0.5,1.393349247370872,0.014839169484499785,33.69460807912961,1,0.5,0.0005,0.00027,0.012272727272727274,5.869565217391305e-05,5e-05,0.00045000000000000004,0.000108,0.1173913043478261
29,29,2025-01-30,0.803,0.798,0.04240000000000001,-3.3833333333333333,99.91666666666667,4.510416666666667,3.3000000000000003,16.34,8388.7,0.4,0.7693966829566264,0.008194074673488072,48.81576211334759,1,0.4,0.0004,0.00021600000000000002,0.00981818181818182,4.6956521739130444e-05,4e-05,0.00036,8.640000000000001e-05,0.09391304347826089
30,30,2025-01-31,0.673,0.673,0.0,-12.012500000000001,100.0,4.99537037037037,5.5,16.34,8388.7,0.4,0.6391881612800978,0.006807353917633042,58.75998293020769,1,0.4,0.0004,0.00021600000000000002,0.00981818181818182,4.6956521739130444e-05,4e-05,0.00036,8.640000000000001e-05,0.09391304347826089
31,31,2025-02-01,1.629,0.676,3.3373000000000004,-17.404166666666665,83.83333333333333,4.533564814814815,2.4,18.38,8388.7,0.3,1.5755547942673744,0.016779658558947537,17.878790497797635,2,0.3,0.0003,0.000162,0.007363636363636365,3.521739130434783e-05,2.9999999999999997e-05,0.00027,6.48e-05,0.07043478260869566
32,32,2025-02-02,1.388,1.163,0.9238999999999999,-26.712500000000002,69.54166666666667,4.295138888888889,0.8,18.38,8388.7,0.1,1.3650967208934306,0.014538280077515037,6.878392730558302,2,0.1,0.0001,5.4000000000000005e-05,0.002454545454545455,1.1739130434782611e-05,1e-05,9e-05,2.1600000000000003e-05,0.023478260869565223
33,33,2025-02-03,1.722,0.909,3.0761,-30.433333333333334,75.125,2.028935185185185,0.0,18.38,8388.7,0.2,1.7409113550396655,0.018540705931172435,10.78707578570353,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
34,34,2025-02-04,1.592,1.099,1.6882000000000001,-30.224999999999998,94.5,0.625,0.1,18.38,8388.7,0.2,1.5311669297738868,0.016306927802091892,12.264725914487922,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
35,35,2025-02-05,1.818,0.88,3.4261999999999997,-29.679166666666664,89.79166666666667,1.4502314814814814,0.1,18.38,8388.7,0.2,1.8339223562425915,0.019531273093983597,10.239987892115845,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
36,36,2025-02-06,1.953,0.688,4.325699999999999,-17.079166666666666,67.29166666666667,3.858796296296296,0.5,18.38,8388.7,0.1,1.927579142827828,0.02052871787111637,4.871224819193344,2,0.1,0.0001,5.4000000000000005e-05,0.002454545454545455,1.1739130434782611e-05,1e-05,9e-05,2.1600000000000003e-05,0.023478260869565223
37,37,2025-02-07,1.754,1.071,2.5458000000000003,-16.970833333333335,67.54166666666667,1.8680555555555556,0.30000000000000004,18.38,8388.7,0.2,1.7734146689157582,0.018886866223952824,10.589369227720516,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
38,38,2025-02-08,1.87,1.0,3.0648,-18.729166666666668,79.875,1.4201388888888888,0.30000000000000004,18.38,8388.7,0.2,1.869780233497135,0.019913159486744485,10.043609610676459,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
39,39,2025-02-09,1.944,1.029,3.4800999999999997,-19.087500000000002,59.125,4.450231481481481,0.30000000000000004,18.38,8388.7,0.2,2.0307336700065224,0.021627313585569463,9.247565547551284,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
40,40,2025-02-10,2.268,0.618,5.5286,-27.675,4.958333333333333,3.407407407407407,0.0,18.38,8388.7,0.3,2.279472291846798,0.024276379908168395,12.357690938056933,2,0.3,0.0003,0.000162,0.007363636363636365,3.521739130434783e-05,2.9999999999999997e-05,0.00027,6.48e-05,0.07043478260869566
41,41,2025-02-11,2.255,0.73,5.1296,-18.383333333333333,57.375,2.494212962962963,0.6000000000000001,18.38,8388.7,0.2,2.2780728294673307,0.024261475633827072,8.243521664492073,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
42,42,2025-02-12,1.994,1.18,2.9541999999999997,-24.579166666666666,67.66666666666667,1.4490740740740742,0.0,18.38,8388.7,0.2,2.040589330958973,0.021732276374713057,9.202901553042702,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
43,43,2025-02-13,2.258,0.818,4.469,-22.5125,81.29166666666667,1.1828703703703705,0.30000000000000004,18.38,8388.7,0.2,2.184360837682132,0.0232634429213147,8.597179732874093,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
44,44,2025-02-14,1.915,1.445,1.637,-23.066666666666666,98.5,2.6064814814814814,0.1,18.38,8388.7,0.2,1.8915033117064932,0.020144510269674152,9.928263200375886,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
45,45,2025-02-15,2.355,0.928,4.1989,-23.620833333333334,88.625,1.1805555555555556,0.0,18.38,8388.7,0.2,2.2280453437285006,0.02372868291070853,8.428617835747719,2,0.2,0.0002,0.00010800000000000001,0.00490909090909091,2.3478260869565222e-05,2e-05,0.00018,4.3200000000000007e-05,0.046956521739130445
46,46,2025-02-16,2.588,0.68,6.1096,-27.141666666666666,16.333333333333332,1.2581018518518519,0.0,18.38,8388.7,0.3,2.619020740640155,0.027892570887817648,10.755552121981983,2,0.3,0.0003,0.000162,0.007363636363636365,3.521739130434783e-05,2.9999999999999997e-05,0.00027,6.48e-05,0.07043478260869566
47,47,2025-02-17,2.658,0.664,6.3848,-27.070833333333336,0.0,2.857638888888889,0.0,18.38,8388.7,0.4,2.7098261735053386,0.028859648747831857,13.860182550906856,2,0.4,0.0004,0.00021600000000000002,0.00981818181818182,4.6956521739130444e-05,4e-05,0.00036,8.640000000000001e-05,0.09391304347826089
48,48,2025-02-18,2.756,0.657,6.629,-28.420833333333334,2.125,2.4953703703703702,0.0,18.38,8388.7,0.4,2.8007862977491316,0.029828374071028254,13.410050411983823,2,0.4,0.0004,0.00021600000000000002,0.00981818181818182,4.6956521739130444e-05,4e-05,0.00036,8.640000000000001e-05,0.09391304347826089
49,49,2025-02-19,2.751,0.721,6.331899999999999,-24.108333333333334,37.583333333333336,3.5543981481481484,0.0,18.38,8388.7,0.5,2.7810786531995393,0.029618487656575095,16.881348088986694,2,0.5,0.0005,0.00027,0.012272727272727274,5.869565217391305e-05,5e-05,0.00045000000000000004,0.000108,0.1173913043478261
50,50,2025-02-20,2.64,0.773,5.4875,-16.3,75.16666666666667,2.8703703703703707,0.0,18.38,8388.7,0.3,2.566993780493092,0.02733848376225143,10.973542007996636,2,0.3,0.0003,0.000162,0.007363636363636365,3.521739130434783e-05,2.9999999999999997e-05,0.00027,6.48e-05,0.07043478260869566
51,51,2025-02-21,1.886,1.257,1.943,-1.6041666666666667,98.25,3.2280092592592586,0.0,18.38,8388.7,2.8,1.8472766534723695,0.019673496359480732,142.3234563311706,2,2.8,0.0028,0.001512,0.06872727272727273,0.00032869565217391307,0.00028,0.00252,0.0006048000000000001,0.6573913043478261
52,52,2025-02-22,2.506,0.859,4.267399999999999,-0.2041666666666667,85.16666666666667,2.9340277777777777,0.0,18.38,8388.7,23.5,2.2662783601074885,0.024135864535144748,973.6547852172914,2,23.5,0.0235,0.012690000000000002,0.5768181818181819,0.0027586956521739136,0.00235,0.021150000000000002,0.005076000000000001,5.517391304347827
53,53,2025-02-23,2.672,1.028,4.4115,3.3541666666666665,76.83333333333333,5.744212962962963,0.7,18.38,8388.7,36.2,2.4858894699858145,0.026474722855348923,1367.3419811715307,2,36.2,0.0362,0.019548000000000003,0.8885454545454547,0.004249565217391305,0.0036200000000000004,0.032580000000000005,0.007819200000000002,8.49913043478261
