,time,ghi,dhi,dni,temp_air,cloud_cover (%),wind_speed,precipitation (mm),Energy per inverter | Primo 7.6-1 208-240 (1),Energy per inverter | Primo 7.6-1 208-240 (2),Energy per inverter | Primo 7.6-1 208-240 (3),Total system,poa_global,theoretical_kwh,PR_Daily,Month,Daily Value Imputed,energy_mwh,co2_avoided,trees_saved,cars_offroad,homes_powered,coal_emission_avoided,coal_tonnage_avoided,gas_saved
0,2025-08-20,4.866,2.141,5.493,17.579166666666666,81.625,2.6758333333333333,0.4,44.39249,41.39772,37.0347,122.82491,2.5114191514568622,0.05782542596229425,2124.064076589586,8,122.82491,0.12282491000000001,0.06632545140000001,3.014793245454546,1.1739130434782611e-05,0.012282491000000001,0.11054241900000002,0.026530180560000005,28.837152782608708
1,2025-08-21,4.573,1.721,5.605899999999999,12.870833333333332,45.25,4.330416666666667,1.6,42.50207,39.09753,35.77678,117.37637,2.1022967520695572,0.04840538271640156,2424.861935039065,8,117.37637,0.11737637,0.0633832398,2.881056354545455,2.3478260869565222e-05,0.011737636999999999,0.105638733,0.02535329592,27.55793034782609
2,2025-08-22,5.622,1.248,7.793100000000001,13.895833333333334,35.291666666666664,3.060416666666667,0.0,50.78082,46.68729,42.92988,140.39799,1.812420587043853,0.04173098401668471,3364.3584810716816,8,140.39799,0.14039799,0.0758149146,3.446132481818182,2.3478260869565222e-05,0.014039799,0.126358191,0.030325965840000003,32.963006347826095
3,2025-08-23,5.91,1.099,8.878200000000001,15.475,11.166666666666666,1.4691666666666665,0.0,56.00988,51.02283,45.75087,152.78358,1.7206458710586796,0.0396178711811261,3856.430833991552,8,152.78358,0.15278358,0.08250313320000001,3.750142418181819,1.1739130434782611e-05,0.015278358,0.137505222,0.033001253280000004,35.870927478260874
4,2025-08-24,5.85,1.002,8.991700000000002,17.245833333333334,1.0416666666666667,1.6241666666666665,0.0,56.03522,50.94575,46.17663,153.1576,1.6010982898045003,0.03686528812274862,4154.520629000331,8,153.1576,0.1531576,0.082705104,3.7593229090909093,2.3478260869565222e-05,0.015315760000000001,0.13784184000000002,0.0330820416,35.958740869565226
5,2025-08-25,5.49,1.584,7.4093,19.075,56.916666666666664,1.0558333333333334,0.0,52.9695,47.4838,43.77024,144.22354,2.0082738605793504,0.046240505639839544,3118.9870872809183,8,144.22354,0.14422354,0.07788071160000001,3.5400323454545464,1.1739130434782611e-05,0.014422354000000002,0.129801186,0.031152284640000007,33.86117895652175
6,2025-08-26,5.595,1.094,8.2622,20.370833333333334,15.041666666666666,1.0808333333333333,0.0,49.55218,44.24896,39.82821,133.62935,1.5696358629863971,0.03614086574526179,3697.4584654912237,8,133.62935,0.13362934999999998,0.072159849,3.2799931363636365,2.3478260869565222e-05,0.013362934999999998,0.12026641499999999,0.0288639396,31.37384739130435
7,2025-08-27,5.645,0.956,8.8279,21.766666666666666,7.166666666666667,1.4887499999999998,0.0,51.34706,46.5629,42.64817,140.55812,1.4364189336769768,0.03307354594791239,4249.865442954479,8,140.55812,0.14055812,0.07590138480000001,3.450062945454546,0.0007395652173913045,0.014055812,0.126502308,0.030360553920000005,33.00060208695653
8,2025-08-28,5.63,0.978,8.94,22.995833333333334,8.958333333333334,2.4875000000000003,0.0,50.30804,45.74005,42.3101,138.35819,1.425016876492808,0.0328110135812469,4216.821576005153,8,138.35819,0.13835819000000002,0.07471342260000001,3.396064663636364,0.002171739130434783,0.013835819000000003,0.12452237100000002,0.029885369040000005,32.4840967826087
9,2025-08-29,5.538,0.961,8.725,21.920833333333334,5.708333333333333,0.7429166666666668,0.0,48.12444,43.03053,39.43605,130.59102,1.3606314764289527,0.03132853974477664,4168.436226644532,8,130.59102,0.13059101999999997,0.07051915079999999,3.205415945454545,0.0004695652173913044,0.013059101999999998,0.11753191799999999,0.028207660319999994,30.660500347826087
